宗,8
拾,9
秋,9
臭,9
修,10
袖,10
終,11
羞,11
習,11
週,11
就,12
衆,12
集,12
愁,13
酬,13
醜,17
蹴,19
襲,22
十,2
汁,5
充,6
住,7
柔,9
重,9
従,10
渋,11
銃,14
獣,16
縦,16
叔,8
祝,9
宿,11
淑,11
粛,11
縮,17
塾,14
熟,15
出,5
述,8
術,11
俊,9
春,9
瞬,18
旬,6
巡,6
盾,9
准,10
殉,10
純,10
循,12
順,12
準,13
潤,15
遵,15
処,5
初,7
所,8
書,10
庶,11
暑,12
署,13
緒,14
諸,15
女,3
如,6
助,7
序,7
叙,9
徐,10
除,10
小,3
升,4
少,4
召,5
匠,6
床,7
抄,7
肖,7
尚,8
招,8
承,8
昇,8
松,8
沼,8
昭,9
宵,10
将,10
消,10
症,10
祥,10
称,10
笑,10
唱,11
商,11
渉,11
章,11
紹,11
訟,11
勝,12
掌,12
晶,12
焼,12
焦,12
硝,12
粧,12
詔,12
証,12
象,12
傷,13
奨,13
照,13
詳,13
彰,14
障,14
憧,15
衝,15
賞,15
償,17
礁,17
鐘,20
上,3
丈,3
冗,4
条,7
状,7
乗,9
城,9
浄,9
剰,11
常,11
情,11
場,12
畳,12
蒸,13
縄,15
壌,16
嬢,16
錠,16
譲,20
醸,20
色,6
拭,9
食,9
植,12
殖,12
飾,13
触,13
嘱,15
織,18
職,18
辱,10
尻,5
心,4
申,5
伸,7
臣,7
芯,7
身,7
辛,7
侵,9
信,9
津,9
神,9
唇,10
娠,10
振,10
浸,10
真,10
針,10
深,11
紳,11
進,11
森,12
診,12
寝,13
慎,13
新,13
審,15
震,15
薪,16
親,16
人,2
刃,3
仁,4
尽,6
迅,6
甚,9
陣,10
尋,12
腎,13
須,12
図,7
水,4
吹,7
垂,8
炊,8
帥,9
粋,10
衰,10
推,11
酔,11
遂,12
睡,13
穂,15
随,12
髄,19
枢,8
崇,11
数,13
据,11
杉,7
裾,13
寸,3
瀬,19
是,9
井,4
世,5
正,5
生,5
成,6
西,6
声,7
制,8
姓,8
征,8
性,8
青,8
斉,8
政,9
星,9
牲,9
省,9
凄,10
逝,10
清,11
盛,11
婿,12
晴,12
勢,13
聖,13
誠,13
精,14
製,14
誓,14
静,14
請,15
整,16
醒,16
税,12
夕,3
斥,5
石,5
赤,7
昔,8
析,8
席,10
脊,10
隻,10
惜,11
戚,11
責,11
跡,13
積,16
績,17
籍,20
切,4
折,7
拙,8
窃,9
接,11
設,11
雪,11
摂,13
節,13
説,14
舌,6
絶,12
千,3
川,3
仙,5
占,5
先,6
宣,9
専,9
泉,9
浅,9
洗,9
染,9
扇,10
栓,10
旋,11
船,11
戦,13
煎,13
羨,13
腺,13
詮,13
践,13
箋,14
銭,14
潜,15
線,15
遷,15
選,15
薦,16
繊,17
鮮,17
全,6
前,9
善,12
然,12
禅,13
漸,14
膳,16
繕,18
狙,8
阻,8
祖,9
租,10
素,10
措,11
粗,11
組,11
疎,12
訴,12
塑,13
遡,14
礎,18
双,4
壮,6
早,6
争,6
走,7
奏,9
相,9
荘,9
草,9
送,9
倉,10
捜,10
挿,10
桑,10
巣,11
掃,11
曹,11
曽,11
爽,11
窓,11
創,12
喪,12
痩,12
葬,12
装,12
僧,13
想,13
層,14
総,14
遭,14
槽,15
踪,15
操,16
燥,17
霜,17
騒,18
藻,19
造,10
像,14
増,14
憎,14
蔵,15
贈,18
臓,19
即,7
束,7
足,7
促,9
則,9
息,10
捉,10
速,10
側,11
測,12
俗,9
族,11
属,12
賊,13
続,13
卒,8
率,11
存,6
村,7
孫,10
尊,12
損,13
遜,14
他,5
多,6
汰,7
打,5
妥,7
唾,11
堕,12
惰,12
駄,14
太,4
対,7
体,7
耐,9
待,9
怠,9
胎,9
退,9
帯,10
泰,10
堆,11
袋,11
逮,11
替,12
貸,12
隊,12
滞,13
態,14
戴,17
大,3
代,5
台,5
第,11
題,18
滝,13
宅,6
択,7
沢,7
卓,8
拓,8
託,10
濯,17
諾,15
濁,16
但,7
達,12
脱,11
奪,14
棚,12
誰,15
丹,4
旦,5
担,8
単,9
炭,9
胆,9
探,11
淡,11
短,12
嘆,13
端,14
綻,14
誕,15
鍛,17
団,6
男,7
段,9
断,11
弾,12
暖,13
談,15
壇,16
地,6
池,6
知,8
値,10
恥,10
致,10
遅,12
痴,13
稚,13
置,13
緻,16
竹,6
畜,10
逐,10
蓄,13
築,16
秩,10
窒,11
茶,9
着,12
嫡,14
中,4
仲,6
虫,6
沖,7
宙,8
忠,8
抽,8
注,8
昼,9
柱,9
衷,10
酎,10
鋳,15
駐,15
著,11
貯,12
丁,2
弔,4
庁,5
兆,6
町,7
長,8
挑,9
帳,11
張,11
彫,11
眺,11
釣,11
頂,11
鳥,11
朝,12
貼,12
超,12
腸,13
跳,13
徴,14
嘲,15
潮,15
澄,15
調,15
聴,17
懲,18
直,8
勅,9
捗,10
沈,7
珍,9
朕,10
陳,11
賃,13
鎮,18
追,9
椎,12
墜,15
通,10
痛,12
塚,12
漬,14
坪,8
爪,4
鶴,21
低,7
呈,7
廷,7
弟,7
定,8
底,8
抵,8
邸,8
亭,9
貞,9
帝,9
訂,9
庭,10
逓,10
停,11
偵,11
堤,12
提,12
程,12
艇,13
締,15
諦,16
泥,8
的,8
笛,11
摘,14
滴,14
適,14
敵,15
溺,13
迭,8
哲,10
鉄,13
徹,15
撤,15
天,4
典,8
店,8
点,9
展,10
添,11
転,11
塡,13
田,5
伝,6
殿,13
電,13
斗,4
吐,6
妬,8
徒,10
途,10
都,11
渡,12
塗,13
賭,16
土,3
奴,5
努,7
度,9
怒,9
刀,2
冬,5
灯,6
当,6
投,7
豆,7
東,8
到,8
逃,9
倒,10
凍,10
唐,10
島,10
桃,10
討,10
透,10
党,10
悼,11
盗,11
陶,11
塔,12
搭,12
棟,12
湯,12
痘,12
登,12
答,12
等,12
筒,12
統,12
稲,14
踏,15
糖,16
頭,16
謄,17
藤,18
闘,18
騰,20
同,6
洞,9
胴,10
動,11
堂,11
童,12
道,12
働,13
銅,14
導,15
瞳,17
峠,9
匿,10
特,10
得,11
督,13
徳,14
篤,16
毒,8
独,9
読,14
栃,9
凸,5
突,8
届,8
屯,4
豚,11
頓,13
貪,11
鈍,12
曇,16
丼,5
那,7
奈,8
内,4
梨,11
謎,17
鍋,17
南,9
軟,11
難,18
二,2
尼,5
弐,6
匂,4
肉,6
虹,9
日,4
入,2
乳,8
尿,7
任,6
妊,7
忍,7
認,14
寧,14
熱,15
年,6
念,8
捻,11
粘,11
燃,16
悩,10
納,10
能,10
脳,11
農,13
濃,16
把,7
波,8
派,9
破,10
覇,19
馬,10
婆,11
罵,15
拝,8
杯,8
背,9
肺,9
俳,10
配,10
排,11
敗,11
廃,12
輩,15
売,7
倍,10
梅,10
培,11
陪,11
媒,12
買,12
賠,15
白,5
伯,7
拍,8
泊,8
迫,8
剝,10
舶,11
博,12
薄,16
麦,7
漠,13
縛,16
爆,19
箱,15
箸,15
畑,9
肌,6
八,2
鉢,13
発,9
髪,14
伐,6
抜,7
罰,14
閥,14
反,4
半,5
氾,5
犯,5
帆,6
汎,6
伴,7
判,7
坂,7
阪,7
板,8
版,8
班,10
畔,10
般,10
販,11
斑,12
飯,12
搬,13
煩,13
頒,13
範,15
繁,16
藩,18
晩,12
番,12
蛮,12
盤,15
比,4
皮,5
妃,6
否,7
批,7
彼,8
披,8
肥,8
非,8
卑,9
飛,9
疲,10
秘,10
被,10
悲,12
扉,12
費,12
碑,14
罷,15
避,16
尾,7
眉,9
美,9
備,12
微,13
鼻,14
膝,15
肘,7
匹,4
必,5
泌,8
筆,12
姫,10
百,6
氷,5
表,8
俵,10
票,11
評,12
漂,14
標,15
苗,8
秒,9
病,10
描,11
猫,11
品,9
浜,10
貧,11
賓,15
頻,17
敏,10
瓶,11
不,4
夫,4
父,4
付,5
布,5
扶,7
府,8
怖,8
阜,8
附,8
訃,9
負,9
赴,9
浮,10
婦,11
符,11
富,12
普,12
腐,14
敷,15
膚,15
賦,15
譜,19
侮,8
武,8
部,11
舞,15
封,9
風,9
伏,6
服,8
副,11
幅,12
復,12
福,13
腹,13
複,14
覆,18
払,5
沸,8
仏,4
物,8
粉,10
紛,10
雰,12
噴,15
墳,15
憤,15
奮,16
分,4
文,4
聞,14
丙,5
平,5
兵,7
併,8
並,8
柄,9
陛,10
閉,11
塀,12
幣,15
弊,15
蔽,15
餅,15
米,6
壁,16
璧,18
癖,18
別,7
蔑,14
片,4
辺,5
返,7
変,9
偏,11
遍,12
編,15
弁,5
便,9
勉,10
歩,8
保,9
哺,10
捕,10
補,12
舗,15
母,5
募,12
墓,13
慕,14
暮,14
簿,19
方,4
包,5
芳,7
邦,7
奉,8
宝,8
抱,8
放,8
法,8
泡,8
胞,9
俸,10
倣,10
峰,10
砲,10
崩,11
訪,11
報,12
蜂,13
豊,13
飽,13
褒,15
縫,16
亡,3
乏,4
忙,6
坊,7
妨,7
忘,7
防,7
房,8
肪,8
某,9
冒,9
剖,10
紡,10
望,11
傍,12
帽,12
棒,12
貿,12
貌,14
暴,15
膨,16
謀,16
頰,16
北,5
木,4
朴,6
牧,8
睦,13
僕,14
墨,14
撲,15
没,7
勃,9
堀,11
本,5
奔,8
翻,18
凡,3
盆,9
麻,11
摩,15
磨,16
魔,21
毎,6
妹,8
枚,8
昧,9
埋,10
幕,13
膜,14
枕,8
又,2
末,5
抹,8
万,3
満,12
慢,14
漫,14
未,5
味,8
魅,15
岬,8
密,11
蜜,14
脈,10
妙,7
民,5
眠,10
矛,5
務,11
無,12
夢,13
霧,19
娘,10
名,6
命,8
明,8
迷,9
冥,10
盟,13
銘,14
鳴,14
滅,13
免,8
面,9
綿,14
麺,16
茂,8
模,14
毛,4
妄,6
盲,8
耗,10
猛,11
網,14
目,5
黙,15
門,8
紋,10
問,11
冶,7
夜,8
野,11
弥,8
厄,4
役,7
約,9
訳,11
薬,16
躍,21
闇,17
由,5
油,8
喩,12
愉,12
諭,16
輸,16
癒,18
唯,11
友,4
有,6
勇,9
幽,9
悠,11
郵,11
湧,12
猶,12
裕,12
遊,12
雄,12
誘,14
憂,15
融,16
優,17
与,3
予,4
余,7
誉,13
預,13
幼,5
用,5
羊,6
妖,7
洋,9
要,9
容,10
庸,11
揚,12
揺,12
葉,12
陽,12
溶,13
腰,13
様,14
瘍,14
踊,14
窯,15
養,15
擁,16
謡,16
曜,18
抑,7
沃,7
浴,10
欲,11
翌,11
翼,17
拉,8
裸,13
羅,19
来,7
雷,13
頼,16
絡,12
落,12
酪,13
辣,14
乱,7
卵,7
覧,17
濫,18
藍,18
欄,20
吏,6
利,7
里,7
理,11
痢,12
裏,13
履,15
璃,15
離,19
陸,11
立,5
律,9
慄,13
略,11
柳,9
流,10
留,10
竜,10
粒,11
隆,11
硫,12
侶,9
旅,10
虜,13
慮,15
了,2
両,6
良,7
料,10
涼,11
猟,11
陵,11
量,12
僚,14
領,14
寮,15
療,17
瞭,17
糧,18
力,2
緑,14
林,8
厘,9
倫,10
輪,15
隣,16
臨,18
瑠,14
涙,10
累,11
塁,12
類,18
令,5
礼,5
冷,7
励,7
戻,7
例,8
鈴,13
零,13
霊,15
隷,16
齢,17
麗,19
暦,14
歴,14
列,6
劣,6
烈,10
裂,12
恋,10
連,10
廉,13
練,14
錬,16
呂,7
炉,8
賂,13
路,13
露,21
老,6
労,7
弄,7
郎,9
朗,10
浪,10
廊,12
楼,13
漏,14
籠,22
六,4
録,16
麓,19
論,15
和,8
話,13
賄,13
脇,10
惑,12
枠,8
湾,12
腕,12
